Named Range,Cell Reference
ALU_IN_Clock,SOS!$B$33
ALU_IN_Opcode,SOS!$D$33
ALU_IN_Operand1,SOS!$F$33
ALU_IN_Operand2,SOS!$H$33
ALU_OUT_High16,SOS!$C$40
ALU_OUT_Low16,SOS!$G$40
ALU_OWN_Operand1,SOS!$C$37
ALU_OWN_Operand2_,SOS!$G$38
ALU_OWN_Operand2,SOS!$G$37
ControlUnit_IN_Clock,SOS!$C$13
ControlUnit_IN_Instbus,SOS!$T$13
ControlUnit_OUT_ALU_OP,SOS!$D$20
ControlUnit_OUT_b16_Val,SOS!$X$20
ControlUnit_OUT_b2_4,SOS!$B$20
ControlUnit_OUT_L_H_b16,SOS!$H$20
ControlUnit_OUT_MemR,SOS!$V$20
ControlUnit_OUT_MemW,SOS!$T$20
ControlUnit_OUT_MuxSel,SOS!$N$20
ControlUnit_OUT_PCSetImd,SOS!$F$20
ControlUnit_OUT_Reg1,SOS!$J$20
ControlUnit_OUT_Reg1W,SOS!$P$20
ControlUnit_OUT_Reg2,SOS!$L$20
ControlUnit_OUT_Reg2W,SOS!$R$20
ControlUnit_OWN_b16Val,SOS!$M$17
ControlUnit_OWN_Opcode,SOS!$J$17
ControlUnit_OWN_Reg1,SOS!$K$17
ControlUnit_OWN_Reg2,SOS!$L$17
FetchUnit_IN_Clock,SOS!$B$5
FetchUnit_IN_PC,SOS!$D$5
FetchUnit_OUT_Inst_Bus,SOS!$C$11
FetchUnit_OWN_Override,SOS!$D$8
FetchUnit_OWN_PC,SOS!$B$8
Global_Clock,SOS!$B$2
Global_Manual,SOS!$J$2
Global_Reset,SOS!$F$2
MemoryManagementUnit_IN_Address,SOS!$J$133
MemoryManagementUnit_IN_Clock,SOS!$B$133
MemoryManagementUnit_IN_MEMR,SOS!$H$133
MemoryManagementUnit_IN_MEMW,SOS!$F$133
MemoryManagementUnit_IN_ReadROM,SOS!$P$133
MemoryManagementUnit_IN_ResetRAM,SOS!$D$133
MemoryManagementUnit_IN_Value,SOS!$M$133
MemoryManagementUnit_OUT_Value,SOS!$Q$135
MemoryManagementUnit_OWN_AddressX,SOS!$J$137
MemoryManagementUnit_OWN_AddressY,SOS!$L$137
Mux_IN_Clock,SOS!$C$24
Mux_IN_High16,SOS!$C$43
Mux_IN_LowHigh,SOS!$R$43
Mux_IN_Low16,SOS!$G$43
Mux_IN_Sel,SOS!$L$24
Mux_OUT_Operand2,SOS!$G$31
Mux_OUT_Output,SOS!$J$49
Mux_OWN_REG2,SOS!$F$28
Mux_OWN_Imd_b16,SOS!$J$28
Mux_OWN_Imd_b4,SOS!$H$28
Mux_OWN_Mem_Val,SOS!$L$28
Mux_OWN_REG2,SOS!$D$28
Mux_OWN_Zero,SOS!$B$28
Mux2_IN_Clock,SOS!$P$43
PC_IN_B2_4_Inst,SOS!$F$71
PC_IN_Clock,SOS!$B$71
PC_IN_Opcode,SOS!$J$71
PC_IN_Operand2,SOS!$L$71
PC_IN_SetIMD,SOS!$H$71
PC_IN_Reset,SOS!$D$71
PC_OUT_PC,SOS!$C$78
PC_OWN_B2_4,SOS!$G$75
PC_OWN_Inmediate,SOS!$I$75
PC_OWN_PC,SOS!$E$75
RAM_OWN_Reset,SOS!$N$2
RegisterFile_IN_Reg2,SOS!$Q$51
RegisterFile_IN_Clock,SOS!$B$51
RegisterFile_IN_Reg1Input,SOS!$H$51
RegisterFile_IN_Reg2Input,SOS!$L$51
RegisterFile_IN_Reg1,SOS!$O$51
RegisterFile_IN_Reg1W,SOS!$D$51
RegisterFile_IN_Reg2W,SOS!$F$51
RegisterFile_OWN_00,SOS!$C$53
RegisterFile_OWN_01,SOS!$C$54
RegisterFile_OWN_02,SOS!$C$55
RegisterFile_OWN_03,SOS!$C$56
RegisterFile_OWN_04,SOS!$C$57
RegisterFile_OWN_05,SOS!$C$58
RegisterFile_OWN_06,SOS!$C$59
RegisterFile_OWN_07,SOS!$C$60
RegisterFile_OWN_08,SOS!$C$61
RegisterFile_OWN_09,SOS!$C$62
RegisterFile_OWN_0A,SOS!$C$63
RegisterFile_OWN_0b,SOS!$C$64
RegisterFile_OWN_0C,SOS!$C$65
RegisterFile_OWN_0D,SOS!$C$66
RegisterFile_OWN_0E,SOS!$C$67
RegisterFile_OWN_0F,SOS!$C$68
RegisterFile_OWN_CF,SOS!$L$60
RegisterFile_OWN_OF,SOS!$N$63
RegisterFile_OWN_SF,SOS!$L$63
RegisterFile_OWN_ZF,SOS!$N$60
